City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Awbari,LY,26.59,12.78,101.03,10,0,10.8,clear sky
269,Opalenica,PL,52.31,16.41,64.99,88,100,5.82,moderate rain
270,Piacabucu,BR,-10.41,-36.43,80.44,67,7,11.27,clear sky
271,Brora,GB,58.01,-3.85,59.0,62,94,5.82,overcast clouds
272,Kafue,ZM,-15.77,28.18,78.04,22,4,6.15,clear sky
273,Mangan,IN,27.52,88.53,76.33,59,98,1.1,overcast clouds
274,Dwarka,IN,22.24,68.97,81.91,83,100,19.42,moderate rain
275,Timbiqui,CO,2.77,-77.67,81.28,74,91,4.21,overcast clouds
276,Konevo,RU,62.12,39.32,47.64,92,43,2.62,scattered clouds
277,Quatre Cocos,MU,-20.21,57.76,71.6,83,75,13.87,light intensity shower rain
278,Atasu,KZ,48.68,71.64,70.05,38,0,14.94,clear sky
279,Turukhansk,RU,65.82,87.98,52.86,95,85,5.14,overcast clouds
280,Mehamn,NO,71.04,27.85,50.0,61,40,11.41,scattered clouds
281,Vestmannaeyjar,IS,63.44,-20.27,51.8,100,90,26.4,mist
282,Los Aquijes,PE,-14.1,-75.69,62.6,82,90,6.93,overcast clouds
283,Edelira,PY,-26.75,-55.27,79.03,60,68,6.46,broken clouds
284,Sabya,SA,17.15,42.63,91.4,66,40,6.93,scattered clouds
285,Colonia,DE,50.93,6.95,70.0,52,20,10.29,few clouds
286,Lagoa,PT,39.05,-27.98,75.09,93,31,12.1,scattered clouds
287,Bhachau,IN,23.28,70.35,79.39,88,100,12.3,moderate rain
288,Tramandai,BR,-29.98,-50.13,59.05,93,96,12.77,light rain
289,Reconquista,AR,-29.15,-59.65,54.79,61,96,12.17,overcast clouds
290,Santa Maria,BR,-29.68,-53.81,51.8,93,90,9.17,overcast clouds
291,Ushtobe,KZ,45.25,77.98,69.3,26,0,11.3,clear sky
292,Keta,GH,5.92,0.99,78.84,71,99,15.61,overcast clouds
293,Tshikapa,CD,-6.42,20.8,84.78,51,51,1.83,broken clouds
294,Mitsamiouli,KM,-11.38,43.28,77.0,61,20,4.7,few clouds
295,Touros,BR,-5.2,-35.46,84.2,58,40,16.11,scattered clouds
296,Bosaso,SO,11.28,49.18,93.29,43,94,5.26,overcast clouds
297,Garango,BF,11.8,-0.55,82.6,72,89,7.54,light rain
298,Podgorica,ME,42.44,19.26,86.0,42,0,5.82,clear sky
299,Gayny,RU,60.31,54.32,55.58,93,48,8.7,scattered clouds
300,Anloga,GH,5.79,0.9,77.14,78,99,16.2,overcast clouds
301,Villazon,BO,-22.09,-65.59,66.52,26,55,16.78,broken clouds
302,Araguari,BR,-18.65,-48.19,84.2,25,10,11.41,clear sky
303,Poli,TZ,-3.33,36.8,78.8,52,20,11.41,few clouds
304,Aquiraz,BR,-3.9,-38.39,87.8,52,20,26.4,few clouds
305,Mwinilunga,ZM,-11.74,24.43,73.13,49,60,4.74,broken clouds
306,Hollola,FI,61.05,25.43,55.0,97,100,1.99,light rain
307,Nanortalik,GL,60.14,-45.24,48.15,75,100,8.9,overcast clouds
308,Zabol,AF,32.25,67.25,71.89,20,0,9.62,clear sky
309,Ekibastuz,KZ,51.67,75.37,71.38,44,0,7.11,clear sky
310,Palafrugell,ES,41.92,3.16,73.99,82,75,4.7,thunderstorm
311,Harper,LR,4.38,-7.72,76.86,80,87,13.29,overcast clouds
312,Iki-Burul,RU,45.82,44.65,77.0,27,0,8.95,clear sky
313,Channel-Port Aux Basques,CA,47.57,-59.14,60.75,84,41,19.04,scattered clouds
314,Sabha,LY,27.04,14.43,98.89,12,0,6.46,clear sky
315,Maragogi,BR,-9.01,-35.22,79.86,68,4,10.2,clear sky
316,Bambui,BR,-20.01,-45.98,87.78,26,17,7.02,few clouds
317,Pathanamthitta,IN,9.27,76.78,77.0,87,37,2.17,scattered clouds
318,Idar-Oberstein,DE,49.7,7.3,66.0,63,40,5.82,light rain
319,Araouane,ML,18.9,-3.53,95.81,35,43,9.19,scattered clouds
320,Kudahuvadhoo,MV,2.67,72.89,84.31,64,54,4.09,broken clouds
321,Lima,PE,-12.04,-77.03,62.6,82,90,3.36,overcast clouds
322,Namibe,AO,-15.2,12.15,65.84,65,0,10.6,clear sky
323,Mantua,IT,45.17,10.78,77.0,53,27,5.99,scattered clouds
324,Itarema,BR,-2.92,-39.92,87.53,53,47,22.15,scattered clouds
325,Kolo,PL,52.2,18.64,63.0,97,92,9.86,heavy intensity rain
326,Jijiga,ET,9.35,42.8,66.83,72,67,11.32,moderate rain
327,Busayra,JO,30.74,35.61,76.77,57,0,4.09,clear sky
328,Naliya,IN,23.27,68.83,82.08,81,100,14.09,overcast clouds
329,Sur,OM,22.57,59.53,86.13,62,65,10.16,broken clouds
330,Sao Jose De Ribamar,BR,-2.56,-44.05,91.4,49,40,11.41,scattered clouds
331,Banda Aceh,ID,5.56,95.32,80.44,79,99,9.78,overcast clouds
332,Kupino,RU,54.37,77.3,62.51,64,2,4.94,clear sky
333,Rodez,FR,44.5,2.58,62.01,82,20,9.17,few clouds
334,High Rock,BS,26.62,-78.28,87.8,79,75,4.7,broken clouds
335,Comodoro Rivadavia,AR,-45.87,-67.5,55.4,43,75,12.75,broken clouds
336,Muravlenko,RU,63.79,74.52,53.55,63,100,9.17,overcast clouds
337,Leh,IN,34.17,77.58,62.91,27,0,4.72,clear sky
338,Kidal,ML,18.44,1.41,89.38,48,87,11.65,overcast clouds
339,Barra Do Garcas,BR,-15.89,-52.26,103.1,13,0,3.87,clear sky
340,Male,MV,4.17,73.51,84.2,74,75,4.7,broken clouds
341,Coatesville,US,39.98,-75.82,77.0,56,20,12.75,few clouds
342,Timra,SE,62.49,17.33,54.0,71,75,10.29,broken clouds
343,Kikwit,CD,-5.04,18.82,86.63,48,82,3.02,broken clouds
344,Jacareacanga,BR,-6.22,-57.75,100.29,31,47,2.53,scattered clouds
345,Loiza,PR,18.43,-65.88,88.0,66,40,16.11,haze
346,Bansi,IN,27.18,82.93,82.18,70,0,2.55,clear sky
347,Iskateley,RU,67.68,53.15,49.91,96,100,10.13,light rain
348,Saint-Georges,GD,12.06,-61.75,84.2,83,40,11.41,scattered clouds
349,Mitu,CO,1.2,-70.17,89.91,48,94,3.67,overcast clouds
350,Kasese,UG,0.18,30.08,72.23,66,79,2.1,broken clouds
351,Plettenberg Bay,ZA,-34.05,23.37,49.96,66,44,8.05,scattered clouds
352,Chapais,CA,49.78,-74.85,57.2,62,75,11.41,broken clouds
353,Sakakah,SA,29.97,40.21,104.0,7,0,4.7,clear sky
354,Ivanteyevka,RU,55.97,37.92,72.0,72,40,2.24,scattered clouds
355,Parrita,CR,9.52,-84.32,82.4,54,40,10.29,scattered clouds
356,Kalmunai,LK,7.42,81.82,82.65,79,98,2.24,overcast clouds
357,Dombarovskiy,RU,50.76,59.54,74.75,36,79,6.91,broken clouds
358,Isla Mujeres,MX,21.23,-86.73,88.0,74,40,9.17,scattered clouds
359,Palamos,ES,41.85,3.13,73.99,82,75,4.7,thunderstorm
